username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,108000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,88900,https://github.com/nodejs/node
microsoft,PowerToys,75200,https://github.com/microsoft/PowerToys
atom,atom,58300,https://github.com/atom/atom
alacritty,alacritty,40400,https://github.com/alacritty/alacritty
x64dbg,x64dbg,38700,https://github.com/x64dbg/x64dbg
ventoy,Ventoy,36700,https://github.com/ventoy/Ventoy
FiloSottile,mkcert,36000,https://github.com/FiloSottile/mkcert
GitSquared,edex-ui,35700,https://github.com/GitSquared/edex-ui
PowerShell,PowerShell,34300,https://github.com/PowerShell/PowerShell
sherlock-project,sherlock,34100,https://github.com/sherlock-project/sherlock
marktext,marktext,33900,https://github.com/marktext/marktext
agalwood,Motrix,32500,https://github.com/agalwood/Motrix
nativefier,nativefier,30900,https://github.com/nativefier/nativefier
2dust,v2rayN,30500,https://github.com/2dust/v2rayN
microsoft,calculator,25200,https://github.com/microsoft/calculator
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
cmderdev,cmder,23700,https://github.com/cmderdev/cmder
files-community,Files,23400,https://github.com/files-community/Files
coreybutler,nvm-windows,22200,https://github.com/coreybutler/nvm-windows
Wox-launcher,Wox,22000,https://github.com/Wox-launcher/Wox
libgdx,libgdx,20200,https://github.com/libgdx/libgdx
notable,notable,20000,https://github.com/notable/notable
libuv,libuv,19800,https://github.com/libuv/libuv
Awesome-Windows,Awesome,19600,https://github.com/Awesome-Windows/Awesome
pbatard,rufus,19200,https://github.com/pbatard/rufus
qier222,YesPlayMusic,18400,https://github.com/qier222/YesPlayMusic
microsoft,winget-cli,17400,https://github.com/microsoft/winget-cli
BoostIO,BoostNote-Legacy,17300,https://github.com/BoostIO/BoostNote-Legacy
