username,repo_name,stars,repo_url
digitalocean,nginxconfig.io,22100,https://github.com/digitalocean/nginxconfig.io
benweet,stackedit,19400,https://github.com/benweet/stackedit
Automattic,wp-calypso,12100,https://github.com/Automattic/wp-calypso
roots,sage,11800,https://github.com/roots/sage
woocommerce,woocommerce,8100,https://github.com/woocommerce/woocommerce
WordPress,gutenberg,8000,https://github.com/WordPress/gutenberg
wpscanteam,wpscan,6800,https://github.com/wpscanteam/wpscan
roots,bedrock,5600,https://github.com/roots/bedrock
timber,timber,5100,https://github.com/timber/timber
Varying-Vagrant-Vagrants,VVV,4600,https://github.com/Varying-Vagrant-Vagrants/VVV
wp-cli,wp-cli,4600,https://github.com/wp-cli/wp-cli
postlight,headless-wp-starter,4200,https://github.com/postlight/headless-wp-starter
corcel,corcel,3700,https://github.com/corcel/corcel
lando,lando,3500,https://github.com/lando/lando
wordpress-mobile,WordPress-iOS,3400,https://github.com/wordpress-mobile/WordPress-iOS
wp-bootstrap,wp-bootstrap-navwalker,3300,https://github.com/wp-bootstrap/wp-bootstrap-navwalker
wp-graphql,wp-graphql,3300,https://github.com/wp-graphql/wp-graphql
ahmadawais,create-guten-block,3100,https://github.com/ahmadawais/create-guten-block
olefredrik,FoundationPress,2800,https://github.com/olefredrik/FoundationPress
frontity,frontity,2700,https://github.com/frontity/frontity
CMB2,CMB2,2700,https://github.com/CMB2/CMB2
mashirozx,sakura,2700,https://github.com/mashirozx/sakura
wordpress-mobile,WordPress-Android,2700,https://github.com/wordpress-mobile/WordPress-Android
solstice23,argon-theme,2600,https://github.com/solstice23/argon-theme
versionpress,versionpress,2500,https://github.com/versionpress/versionpress
seatonjiang,kratos,2400,https://github.com/seatonjiang/kratos
roots,trellis,2300,https://github.com/roots/trellis
Tuhinshubhra,RED_HAWK,2100,https://github.com/Tuhinshubhra/RED_HAWK
gautamkrishnar,blog-post-workflow,2100,https://github.com/gautamkrishnar/blog-post-workflow
EasyEngine,easyengine,1900,https://github.com/EasyEngine/easyengine
