username,repo_name,stars,repo_url
SheetJS,sheetjs,30700,https://github.com/SheetJS/sheetjs
xbmc,xbmc,14000,https://github.com/xbmc/xbmc
jhy,jsoup,9600,https://github.com/jhy/jsoup
dbohdan,structured-text-tools,6300,https://github.com/dbohdan/structured-text-tools
pocoproject,poco,6200,https://github.com/pocoproject/poco
reactiveui,refit,6200,https://github.com/reactiveui/refit
mikefarah,yq,6000,https://github.com/mikefarah/yq
rest-assured,rest-assured,6000,https://github.com/rest-assured/rest-assured
sparklemotion,nokogiri,5900,https://github.com/sparklemotion/nokogiri
troyeguo,koodo-reader,5700,https://github.com/troyeguo/koodo-reader
mledoze,countries,5500,https://github.com/mledoze/countries
wiremock,wiremock,5100,https://github.com/wiremock/wiremock
ServiceStack,ServiceStack,5100,https://github.com/ServiceStack/ServiceStack
Leonidas-from-XIV,node-xml2js,4500,https://github.com/Leonidas-from-XIV/node-xml2js
tboox,tbox,4100,https://github.com/tboox/tbox
fb55,htmlparser2,3600,https://github.com/fb55/htmlparser2
TomWright,dasel,3500,https://github.com/TomWright/dasel
JavaNoober,BackgroundLibrary,3400,https://github.com/JavaNoober/BackgroundLibrary
dr5hn,countries-states-cities-database,3400,https://github.com/dr5hn/countries-states-cities-database
zeux,pugixml,3100,https://github.com/zeux/pugixml
tdewolff,minify,3000,https://github.com/tdewolff/minify
florent37,ShapeOfView,3000,https://github.com/florent37/ShapeOfView
php-curl-class,php-curl-class,3000,https://github.com/php-curl-class/php-curl-class
posthtml,posthtml,2800,https://github.com/posthtml/posthtml
substance,substance,2700,https://github.com/substance/substance
elvishew,xLog,2600,https://github.com/elvishew/xLog
mattt,Ono,2600,https://github.com/mattt/Ono
thymeleaf,thymeleaf,2300,https://github.com/thymeleaf/thymeleaf
symfony,serializer,2100,https://github.com/symfony/serializer
Imangazaliev,DiDOM,2000,https://github.com/Imangazaliev/DiDOM
