username,repo_name,stars,repo_url
dotnet-architecture,eShopOnContainers,21100,https://github.com/dotnet-architecture/eShopOnContainers
mono,mono,9900,https://github.com/mono/mono
reactiveui,ReactiveUI,7100,https://github.com/reactiveui/ReactiveUI
unoplatform,uno,6700,https://github.com/unoplatform/uno
reactiveui,refit,6200,https://github.com/reactiveui/refit
xamarin,Xamarin.Forms,5600,https://github.com/xamarin/Xamarin.Forms
NLog,NLog,5600,https://github.com/NLog/NLog
xamarin,xamarin-forms-samples,4200,https://github.com/xamarin/xamarin-forms-samples
neuecc,MessagePack-CSharp,4000,https://github.com/neuecc/MessagePack-CSharp
bitwarden,mobile,3700,https://github.com/bitwarden/mobile
MvvmCross,MvvmCross,3700,https://github.com/MvvmCross/MvvmCross
migueldeicaza,TensorFlowSharp,3000,https://github.com/migueldeicaza/TensorFlowSharp
mono,SkiaSharp,2800,https://github.com/mono/SkiaSharp
Caliburn-Micro,Caliburn.Micro,2500,https://github.com/Caliburn-Micro/Caliburn.Micro
mono,CppSharp,2400,https://github.com/mono/CppSharp
jsuarezruiz,xamarin-forms-goodlooking-UI,2400,https://github.com/jsuarezruiz/xamarin-forms-goodlooking-UI
reactiveui,Akavache,2300,https://github.com/reactiveui/Akavache
xamarin,xamarin-macios,2200,https://github.com/xamarin/xamarin-macios
beto-rodriguez,LiveCharts2,1800,https://github.com/beto-rodriguez/LiveCharts2
XamSome,awesome-xamarin,1800,https://github.com/XamSome/awesome-xamarin
microcharts-dotnet,Microcharts,1800,https://github.com/microcharts-dotnet/Microcharts
NLua,NLua,1600,https://github.com/NLua/NLua
xamarin,ios-samples,1500,https://github.com/xamarin/ios-samples
xamarin,Essentials,1500,https://github.com/xamarin/Essentials
jamesmontemagno,Xamarin.Plugins,1300,https://github.com/jamesmontemagno/Xamarin.Plugins
microsoft,AdaptiveCards,1300,https://github.com/microsoft/AdaptiveCards
Baseflow,LottieXamarin,1200,https://github.com/Baseflow/LottieXamarin
rotorgames,Rg.Plugins.Popup,1100,https://github.com/rotorgames/Rg.Plugins.Popup
moonsharp-devs,moonsharp,1100,https://github.com/moonsharp-devs/moonsharp
lbugnion,mvvmlight,1100,https://github.com/lbugnion/mvvmlight
