username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
justjavac,free-programming-books-zh_CN,94400,https://github.com/justjavac/free-programming-books-zh_CN
ionic-team,ionic-framework,47700,https://github.com/ionic-team/ionic-framework
google,material-design-icons,46200,https://github.com/google/material-design-icons
Solido,awesome-flutter,41700,https://github.com/Solido/awesome-flutter
vsouza,awesome-ios,40000,https://github.com/vsouza/awesome-ios
dcloudio,uni-app,36900,https://github.com/dcloudio/uni-app
FiloSottile,mkcert,36000,https://github.com/FiloSottile/mkcert
fastlane,fastlane,35600,https://github.com/fastlane/fastlane
xitu,gold-miner,31000,https://github.com/xitu/gold-miner
dkhamsing,open-source-ios-apps,30900,https://github.com/dkhamsing/open-source-ios-apps
SheetJS,sheetjs,30700,https://github.com/SheetJS/sheetjs
bilibili,ijkplayer,30600,https://github.com/bilibili/ijkplayer
ultralytics,yolov5,29000,https://github.com/ultralytics/yolov5
SDWebImage,SDWebImage,24200,https://github.com/SDWebImage/SDWebImage
appwrite,appwrite,23700,https://github.com/appwrite/appwrite
airbnb,lottie-ios,22900,https://github.com/airbnb/lottie-ios
react-native-elements,react-native-elements,22600,https://github.com/react-native-elements/react-native-elements
ReactiveX,RxSwift,22400,https://github.com/ReactiveX/RxSwift
matteocrippa,awesome-swift,22200,https://github.com/matteocrippa/awesome-swift
quasarframework,quasar,21600,https://github.com/quasarframework/quasar
NativeScript,NativeScript,21400,https://github.com/NativeScript/NativeScript
HeroTransitions,Hero,20900,https://github.com/HeroTransitions/Hero
onevcat,Kingfisher,20300,https://github.com/onevcat/Kingfisher
libgdx,libgdx,20200,https://github.com/libgdx/libgdx
didi,DoKit,18800,https://github.com/didi/DoKit
nikitavoloboev,my-mac-os,18800,https://github.com/nikitavoloboev/my-mac-os
GeekyAnts,NativeBase,18000,https://github.com/GeekyAnts/NativeBase
alibaba,weex,17900,https://github.com/alibaba/weex
iampawan,FlutterExampleApps,17100,https://github.com/iampawan/FlutterExampleApps
