username,repo_name,stars,repo_url
flutter,flutter,143000,https://github.com/flutter/flutter
jlevy,the-art-of-command-line,108000,https://github.com/jlevy/the-art-of-command-line
nodejs,node,88900,https://github.com/nodejs/node
atom,atom,58300,https://github.com/atom/atom
jaywcjlove,awesome-mac,51300,https://github.com/jaywcjlove/awesome-mac
alacritty,alacritty,40400,https://github.com/alacritty/alacritty
vercel,hyper,38900,https://github.com/vercel/hyper
FiloSottile,mkcert,36000,https://github.com/FiloSottile/mkcert
GitSquared,edex-ui,35700,https://github.com/GitSquared/edex-ui
PowerShell,PowerShell,34300,https://github.com/PowerShell/PowerShell
sherlock-project,sherlock,34100,https://github.com/sherlock-project/sherlock
marktext,marktext,33900,https://github.com/marktext/marktext
Homebrew,brew,32800,https://github.com/Homebrew/brew
agalwood,Motrix,32500,https://github.com/agalwood/Motrix
serhii-londar,open-source-mac-os-apps,31200,https://github.com/serhii-londar/open-source-mac-os-apps
nativefier,nativefier,30900,https://github.com/nativefier/nativefier
iina,iina,30700,https://github.com/iina/iina
shadowsocks,ShadowsocksX-NG,30500,https://github.com/shadowsocks/ShadowsocksX-NG
mathiasbynens,dotfiles,28000,https://github.com/mathiasbynens/dotfiles
herrbischoff,awesome-macos-command-line,25900,https://github.com/herrbischoff/awesome-macos-command-line
nylas,nylas-mail,24700,https://github.com/nylas/nylas-mail
SDWebImage,SDWebImage,24200,https://github.com/SDWebImage/SDWebImage
sickcodes,Docker-OSX,23300,https://github.com/sickcodes/Docker-OSX
onevcat,Kingfisher,20300,https://github.com/onevcat/Kingfisher
drduh,macOS-Security-and-Privacy-Guide,19300,https://github.com/drduh/macOS-Security-and-Privacy-Guide
withfig,autocomplete,19300,https://github.com/withfig/autocomplete
MustangYM,WeChatExtension-ForMac,19300,https://github.com/MustangYM/WeChatExtension-ForMac
nikitavoloboev,my-mac-os,18800,https://github.com/nikitavoloboev/my-mac-os
qier222,YesPlayMusic,18400,https://github.com/qier222/YesPlayMusic
BoostIO,BoostNote-Legacy,17300,https://github.com/BoostIO/BoostNote-Legacy
