username,repo_name,stars,repo_url
goldbergyoni,nodebestpractices,79300,https://github.com/goldbergyoni/nodebestpractices
meteor,meteor,42900,https://github.com/meteor/meteor
yarnpkg,yarn,40700,https://github.com/yarnpkg/yarn
lerna,lerna,33100,https://github.com/lerna/lerna
oven-sh,bun,27400,https://github.com/oven-sh/bun
pnpm,pnpm,18400,https://github.com/pnpm/pnpm
verdaccio,verdaccio,13600,https://github.com/verdaccio/verdaccio
jaredpalmer,tsdx,10000,https://github.com/jaredpalmer/tsdx
renovatebot,renovate,9000,https://github.com/renovatebot/renovate
astrit,css.gg,8600,https://github.com/astrit/css.gg
miniMAC,magic,7700,https://github.com/miniMAC/magic
stop-war-in-ukraine,stop-russia-it,7300,https://github.com/stop-war-in-ukraine/stop-russia-it
raineorshine,npm-check-updates,7200,https://github.com/raineorshine/npm-check-updates
sindresorhus,np,6700,https://github.com/sindresorhus/np
npm,cli,6100,https://github.com/npm/cli
voidcosmos,npkill,6000,https://github.com/voidcosmos/npkill
release-it,release-it,5400,https://github.com/release-it/release-it
mysticatea,npm-run-all,4900,https://github.com/mysticatea/npm-run-all
jsdelivr,jsdelivr,4500,https://github.com/jsdelivr/jsdelivr
rustwasm,wasm-pack,4400,https://github.com/rustwasm/wasm-pack
sindresorhus,awesome-npm,4000,https://github.com/sindresorhus/awesome-npm
vuejs,eslint-plugin-vue,3800,https://github.com/vuejs/eslint-plugin-vue
wclr,yalc,3900,https://github.com/wclr/yalc
matteobruni,tsparticles,3600,https://github.com/matteobruni/tsparticles
cnpm,cnpmjs.org,3600,https://github.com/cnpm/cnpmjs.org
vercel,release,3400,https://github.com/vercel/release
apify,crawlee,3400,https://github.com/apify/crawlee
felixrieseberg,windows-build-tools,3300,https://github.com/felixrieseberg/windows-build-tools
feross,thanks,2700,https://github.com/feross/thanks
zkat,npx,2600,https://github.com/zkat/npx
