username,repo_name,stars,repo_url
microsoft,ML-For-Beginners,39800,https://github.com/microsoft/ML-For-Beginners
Avik-Jain,100-Days-Of-ML-Code,38000,https://github.com/Avik-Jain/100-Days-Of-ML-Code
jakevdp,PythonDataScienceHandbook,35200,https://github.com/jakevdp/PythonDataScienceHandbook
apachecn,ailearning,33600,https://github.com/apachecn/ailearning
ageron,handson-ml,24600,https://github.com/ageron/handson-ml
donnemartin,data-science-ipython-notebooks,23300,https://github.com/donnemartin/data-science-ipython-notebooks
virgili0,Virgilio,13300,https://github.com/virgili0/Virgilio
onnx,onnx,12900,https://github.com/onnx/onnx
rasbt,python-machine-learning-book,11600,https://github.com/rasbt/python-machine-learning-book
ml-tooling,best-of-ml-python,11100,https://github.com/ml-tooling/best-of-ml-python
dask,dask,10100,https://github.com/dask/dask
EpistasisLab,tpot,8700,https://github.com/EpistasisLab/tpot
Yorko,mlcourse.ai,8300,https://github.com/Yorko/mlcourse.ai
microsoft,onnxruntime,7200,https://github.com/microsoft/onnxruntime
ljpzzz,machinelearning,6800,https://github.com/ljpzzz/machinelearning
rasbt,python-machine-learning-book-2nd-edition,6500,https://github.com/rasbt/python-machine-learning-book-2nd-edition
automl,auto-sklearn,6400,https://github.com/automl/auto-sklearn
alteryx,featuretools,6300,https://github.com/alteryx/featuretools
alan-turing-institute,sktime,5500,https://github.com/alan-turing-institute/sktime
interpretml,interpret,4800,https://github.com/interpretml/interpret
apachecn,sklearn-doc-zh,4700,https://github.com/apachecn/sklearn-doc-zh
awslabs,autogluon,4600,https://github.com/awslabs/autogluon
skorch-dev,skorch,4600,https://github.com/skorch-dev/skorch
PipelineAI,pipeline,4100,https://github.com/PipelineAI/pipeline
DistrictDataLabs,yellowbrick,3700,https://github.com/DistrictDataLabs/yellowbrick
biolab,orange3,3500,https://github.com/biolab/orange3
justmarkham,scikit-learn-videos,3400,https://github.com/justmarkham/scikit-learn-videos
rasbt,python-machine-learning-book-3rd-edition,3300,https://github.com/rasbt/python-machine-learning-book-3rd-edition
TarrySingh,Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials,3100,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials
nidhaloff,igel,3000,https://github.com/nidhaloff/igel
